Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCF_000418345.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	3016	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.5.3; Celera software v.7	SAMN02603524	Bmb9393	NA	NA	Complete Genome	1	2980548	NA	33	25	2	2	98.37	0.47	v1.2.3	PRJNA196937	NA	homo sapiens	human
GCF_000597965.1	Staphylococcus aureus	homo sapiens	newborn nursery	NA	bacterial interference strain	NA	2781	Best-placed reference protein set; GeneMarkS-2+	HGAP2 v. V2.1	SAMN02690781	502A	NA	NA	Complete Genome	1	2764699	NA	33	NA	2	2	98.57	0.39	v1.2.3	PRJNA240093	NA	homo sapiens | newborn nursery | bacterial interference strain	human
GCF_000626615.2	Staphylococcus aureus	homo sapiens	human	NA	col, nrs100,meca	NA	2793	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2.0	SAMN02700075	FDAARGOS_5	NA	NA	Complete Genome	1	2810186	NA	33	1001.18	1	1	98.18	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | col, nrs100,meca	human
GCF_000695215.1	Staphylococcus aureus	homo sapiens	abscess/wound	NA	NA	NA	2835	Best-placed reference protein set; GeneMarkS-2+	Velvet v. 1.2.10	SAMN02767598	H-EMRSA-15	NA	NA	Complete Genome	1	2846320	NA	33	NA	1	1	98.84	0.39	v1.2.3	PRJNA246435	NA	homo sapiens | abscess/wound	human
GCF_000695875.1	Staphylococcus aureus	homo sapiens	biological	NA	prolific biofilm formers	NA	2888	Best-placed reference protein set; GeneMarkS-2+	Velvet v. 1.2.10	SAMN02777327	UA-S391_USA300	NA	NA	Complete Genome	1	2872916	NA	33	NA	1	1	97.95	0.39	v1.2.3	PRJNA246435	NA	homo sapiens | biological | prolific biofilm formers	human
GCF_000736455.1	Staphylococcus aureus	NA	strain hg003 was generated by silvia herbert in 2010 in the microbial genetics department of university of tubingen, germany; herbert received the parental strain nctc8325 from richard novick (nyu langone medical center); parental strain nctc8325 was isolated in 1960 from a sepsis patient at colindale, central public health laboratory, london, uk	NA	NA	NA	2851	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.1.0	SAMN02911820	HG003	NA	NA	Scaffold	3	392186	NA	32.5	95	20	19	98.81	0.39	v1.2.3	PRJNA255272	NA	strain hg003 was generated by silvia herbert in 2010 in the microbial genetics department of university of tubingen, germany; herbert received the parental strain nctc8325 from richard novick (nyu langone medical center); parental strain nctc8325 was isolated in 1960 from a sepsis patient at colindale, central public health laboratory, london, uk	lab
GCF_000756205.1	Staphylococcus aureus	homo sapiens	clinical	NA	NA	NA	2775	Best-placed reference protein set; GeneMarkS-2+	Celera Assembler v. 8.1	SAMN03009478	ATCC 25923	NA	NA	Complete Genome	1	2778854	NA	33	408	2	2	98.41	0.62	v1.2.3	PRJNA259557	NA	homo sapiens | clinical	human
GCF_000769575.1	Staphylococcus aureus	NA	patient with hospital-associated wound infection	NA	staphylococcus aureus subsp. aureus strain gv69 belonging to the lineage st239-sccmeciii was isolated from a hospitalized patient presented with wound infection in teresina, pi, brazil in 1996. this isolate presents a natural attenuation of the agr-rnaiii transcription and a moderate ability to accumulate ica-independent biofilm.	NA	3108	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.6	SAMN03144721	Gv69	NA	NA	Complete Genome	1	3046210	NA	33	23	1	1	96.8	0.51	v1.2.3	PRJNA264181	NA	patient with hospital-associated wound infection | staphylococcus aureus subsp. aureus strain gv69 belonging to the lineage st239-sccmeciii was isolated from a hospitalized patient presented with wound infection in teresina, pi, brazil in 1996. this isolate presents a natural attenuation of the agr-rnaiii transcription and a moderate ability to accumulate ica-independent biofilm.	NA
GCF_000772025.1	Staphylococcus aureus	NA	parched beans	NA	NA	NA	2882	Best-placed reference protein set; GeneMarkS-2+	SMRT Portal HGAP v. 3	SAMN03140315	FORC_001	NA	NA	Complete Genome	1	2886017	NA	33	207	1	1	97.84	0.81	v1.2.3	PRJNA259937	NA	parched beans	food
GCF_000788115.1	Staphylococcus aureus	homo sapiens	hospital	NA	NA	NA	2761	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.1.1	SAMN03222810	UAMS-1	NA	NA	Scaffold	1	1697176	NA	32.5	110	7	2	97.43	0.71	v1.2.3	PRJNA268588	NA	homo sapiens | hospital	human
GCF_000815045.1	Staphylococcus aureus	NA	trypticase soy agar	NA	blue light (450 nm) @55 j/cm2	NA	2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251897	ATCC BAA1680	NA	NA	Complete Genome	1	2872768	NA	33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	NA	trypticase soy agar | blue light (450 nm) @55 j/cm2	NA
